_ID,TimeSt,Country,Province,City,Latitude,Longitude
4558732,01:41.7,CA,AB,Calgary,51.05531,-113.95698
4558738,01:42.9,CA,AB,Calgary,51.15648,-114.07926
4558784,01:43.3,CA,AB,Forestburg,52.58018,-112.05463
4558811,01:44.6,CA,BC,Lazo,49.7023,-124.91
4558827,01:39.9,CA,AB,Edmonton,53.58562,-113.39447
4558856,01:41.7,CA,ON,Thornhill,43.8395,-79.3831
4558865,01:41.9,CA,AB,Ardrossan,53.55,-113.1333
4558904,01:42.2,CA,ON,Burlington,43.3221,-79.82952
4558907,01:42.7,CA,AB,St Albert,53.62972,-113.58817
4558937,01:44.0,CA,ON,Toronto,43.6319,-79.3716
4558952,01:44.7,CA,ON,Newmarket,44.039,-79.4724
4558998,01:41.8,CA,AB,Calgary,51.15875,-114.08586
4559041,01:45.1,CA,ON,Thunder Bay,48.4527,-89.2162
4559093,01:41.7,CA,ON,Thornhill,43.8395,-79.3831
4559097,01:41.8,CA,AB,Calgary,51.03888,-114.07461
4559173,01:44.0,CA,AB,Fort Mcmurray,56.74335,-111.47086
4559184,01:44.7,CA,ON,Huntsville,45.3265,-79.2168
4559268,01:45.1,CA,ON,Lindsay,44.357,-78.7405
4559356,01:45.2,CA,ON,Orillia,44.6078,-79.4175
4559366,01:45.3,CA,ON,Orillia,44.6078,-79.4175
4559418,01:45.4,CA,AB,Calgary,51.0378,-114.08
4559493,01:46.3,CA,ON,Lindsay,44.357,-78.7405
4559592,01:46.8,CA,ON,Kirkland Lake,48.1516,-80.0322
4559622,01:46.9,CA,ON,Kingston,44.2647,-76.5504
4559664,01:44.9,CA,ON,Sudbury,46.5213,-80.947
4559694,01:45.6,CA,ON,Sudbury,46.4933,-80.9967
4559786,01:45.8,CA,ON,Newmarket,44.0587,-79.4591
4559863,01:48.1,CA,ON,Barrie,44.4015,-79.6782
4559896,01:48.6,CA,ON,Timmins,48.5439,-81.1184
4559939,01:49.0,CA,ON,Sudbury,46.5145,-80.9448
4559950,01:49.1,CA,ON,Sioux Lookout,50.0942,-91.9179
4560034,01:49.7,CA,ON,Kingston,44.2377,-76.5602
4560048,01:49.7,CA,ON,Bracebridge,45.0442,-79.1286
4560077,01:49.7,CA,ON,Barrie,44.4015,-79.6782
4560163,01:49.8,CA,ON,Thunder Bay,48.4527,-89.2162
4560204,01:45.3,CA,ON,Sudbury,46.5213,-80.947
4560239,01:49.7,CA,ON,Barrie,44.4015,-79.6782
4560318,01:45.8,CA,AB,Calgary,51.0915,-114.2073
4560361,01:46.1,CA,ON,Barrie,44.41035,-79.72164
4560458,01:46.4,CA,ON,Kingston,44.2307,-76.5209
4560480,01:46.5,CA,ON,Pembroke,45.827,-77.1116
4560577,01:46.8,CA,ON,North Bay,46.3377,-79.3717
4560605,01:47.2,CA,ON,Kingston,44.2647,-76.5504
4560636,01:47.8,CA,ON,Sudbury,46.5213,-80.947
4560648,01:46.8,CA,ON,North Bay,46.3377,-79.3717
4560702,01:48.1,CA,AB,Calgary,51.0412,-114.0762
4560784,01:47.2,CA,ON,Kingston,44.2647,-76.5504
4560799,01:48.5,CA,ON,Kingston,44.2647,-76.5504
4560821,01:48.6,CA,ON,Thunder Bay,48.4084,-89.255
4560832,01:48.9,CA,ON,Kingston,44.26413,-76.49104
4560879,01:49.0,CA,ON,Orillia,44.7558,-79.3325
4560931,01:49.4,CA,ON,Thunder Bay,48.4084,-89.255
4561012,01:49.5,CA,ON,Thunder Bay,48.3738,-89.2779
4561048,01:49.7,CA,ON,Kingston,44.2377,-76.5602
4561077,01:50.0,CA,ON,Sudbury,46.4762,-80.9601
4561168,01:46.2,CA,ON,Toronto,43.59269,-79.53341
4561220,01:46.6,CA,ON,Lindsay,44.357,-78.7405
4561306,01:46.7,CA,ON,Newmarket,44.0587,-79.4591
4561335,01:47.2,CA,ON,Kingston,44.2377,-76.5602
4561388,01:47.6,CA,ON,Bracebridge,45.02703,-79.30982
4561413,01:47.8,CA,ON,Lindsay,44.357,-78.7405
4561428,01:47.9,CA,ON,Newmarket,44.039,-79.4724
4561518,01:48.4,CA,ON,Thunder Bay,48.3738,-89.2779
